program_name,n,abstract_judgment,concrete_judgment,abstract_probability,concrete_probability,abstract_elapsed_seconds,full_statevector_elapsed_seconds,full_assertion_evaluation_seconds,full_concrete_backend_elapsed_seconds,time_ratio_abstract_over_concrete,time_ratio_abstract_over_statevector_only,abstract_max_execution_bytes,full_statevector_bytes,full_density_matrix_bytes,space_ratio_abstract_over_statevector,space_ratio_abstract_over_density_matrix
iqft_compare_10_w5,10,satisfied,satisfied,0.9975923633360948,0.9975923633360949,0.05786071699913009,0.010424500000226544,0.007677634999708971,0.018102134999935515,3.1963476683460934,5.550454889718708,65792,16384,16777216,4.015625,0.0039215087890625
iqft_compare_11_w5,11,satisfied,satisfied,0.9968456119795842,0.9968456119795841,0.06061980000049516,0.007549072999609052,0.018008580000241636,0.02555765299985069,2.3718844606290457,8.0300985304599,65856,32768,67108864,2.009765625,0.0009813308715820312
iqft_compare_12_w5,12,satisfied,satisfied,0.9968456119795838,0.9968456119795839,0.07851613399907365,0.005211477000557352,0.04678589099967212,0.05199736800022947,1.5100020831578849,15.066004127174807,65920,65536,268435456,1.005859375,0.0002455711364746094
iqft_compare_13_w5,13,satisfied,satisfied,0.9971561852063403,0.9971561852063408,0.08508095100114588,0.007843901001251652,0.10350938100054918,0.11135328200180084,0.7640632541012121,10.846765020054372,65984,131072,1073741824,0.50341796875,6.145238876342773e-05
iqft_compare_14_w5,14,satisfied,satisfied,0.9973537688666092,0.9973537688666092,0.08805195599961735,0.023294149999856018,0.20603969599869743,0.22933384599855344,0.38394662425960774,3.7800029621240356,66048,262144,4294967296,0.251953125,1.537799835205078e-05
iqft_compare_15_w5,15,satisfied,satisfied,0.9973537688666088,0.9973537688666098,0.13317769000059343,0.038424283999120235,0.4807870320000802,0.5192113159992005,0.25649997582255796,3.4659771410091254,66112,524288,17179869184,0.1260986328125,3.848224878311157e-06
iqft_compare_16_w5,16,satisfied,satisfied,0.9973537688666084,0.997353768866609,0.14348191099998076,0.08967755000048783,1.0126443310000468,1.1023218810005346,0.13016335198730503,1.5999758133356703,66176,1048576,68719476736,0.0631103515625,9.629875421524048e-07
iqft_compare_17_w5,17,satisfied,satisfied,0.9974643786778716,0.9974643786778706,0.1267620859998715,0.2113922159987851,2.032612211000014,2.2440044269987993,0.056489231694345186,0.599653517992356,66240,2097152,274877906944,0.031585693359375,2.4097971618175507e-07
iqft_compare_18_w5,18,satisfied,satisfied,0.9975198831369373,0.9975198831369402,0.1605401470005745,1.7892430070005503,4.1916102830000455,5.980853290000596,0.026842348276454465,0.08972517783914699,66304,4194304,1099511627776,0.01580810546875,6.030313670635223e-08
iqft_compare_19_w5,19,satisfied,satisfied,0.997519883136937,0.9975198831369378,0.16459904600014852,2.279133833000742,8.991283661000125,11.270417494000867,0.014604520736500044,0.07222000025484898,66368,8388608,4398046511104,0.00791168212890625,1.5090336091816425e-08
iqft_compare_20_w5,20,satisfied,satisfied,0.9975198831369368,0.9975198831369342,0.17193569599839975,3.879772389000209,18.547448748000534,22.427221137000743,0.007666384299155897,0.04431592339949262,66432,16777216,17592186044416,0.00395965576171875,3.776222001761198e-09
